"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluation of user behavior trust in cloud computing","L. -q. Tian; C. Lin; Y. Ni","Department of Computer Science and Technology, Tsinghua University, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Institute of Graduate, Liaoning Technical University, Huludao, China",2010 International Conference on Computer Application and System Modeling (ICCASM 2010),"4 Nov 2010","2010","7","","V7-567","V7-572","Currently, the cloud computing is hot research both in scholars and enterprise, because of its good features such as low investment, easy maintenance, Flexibility and fast deployment, reliable service. But to truly implement cloud computing, we need to gradually improve it in academic, legal and institutional. Especially, the issue of trust is one of the biggest obstacles for the development of cloud computing. In the cloud computing, due to users directly use and operate the software and OS, and even basic programming environment and network infrastructure which provided by the cloud services providers, so the impact and destruction for the software and hardware cloud resources in cloud computing are worse than the current Internet users who use it to share resources. Therefore, that whether user behavior is trusted, how to evaluate user behavior trust is an important research content in cloud computing. mainly discusses evaluation importance of user behavior trust and evaluation strategy, in the cloud computing, including trust object analysis, principle on evaluating user behavior trust, basic idea of evaluating user behavior trust, evaluation strategy of behavior trust for each access, and long access, which laid the theoretical foundation about trust for the practical cloud computing application.","2161-9077","978-1-4244-7237-6","10.1109/ICCASM.2010.5620636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5620636","Cloud Computing;Evaluation of user behavior trust;Evaluation Principle;Evaluation Strategy","Copper;Probes;Computer architecture;Clouds","","41","1","12","IEEE","4 Nov 2010","","","IEEE","IEEE Conferences"
"A Federated Multi-cloud PaaS Infrastructure","F. Paraiso; N. Haderer; P. Merle; R. Rouvoy; L. Seinturier","University of Lille & Inria Lille-Nord Europe LIFL UMR CNRS 8022, France; University of Lille & Inria Lille-Nord Europe LIFL UMR CNRS 8022, France; University of Lille & Inria Lille-Nord Europe LIFL UMR CNRS 8022, France; University of Lille & Inria Lille-Nord Europe LIFL UMR CNRS 8022, France; University of Lille & Inria Lille-Nord Europe LIFL UMR CNRS 8022, France",2012 IEEE Fifth International Conference on Cloud Computing,"2 Aug 2012","2012","","","392","399","Cloud platforms are increasingly being used for hosting a broad diversity of services from traditional e-commerce applications to interactive web-based Ides. How-ever, we observe that the proliferation of offers by cloud providers raises several challenges. Developers will not only have to deploy applications for a specific cloud, but will also have to consider migrating services from one cloud to another, and to manage distributed applications spanning multiple clouds. In this paper, we present our federated multi-cloud PaaS infrastructure for addressing these challenges. This infrastructure is based on three foundations: i) an open service model used to design and implement both our multi-cloud PaaSand the SaaS applications running on top of it, ii) a configurable architecture of the federated PaaS, and iii) some infrastructure services for managing both our multi-cloud PaaS and the SaaS applications. We then show how this multi-cloud PaaS can be deployed on top of thirteen existing IaaS/PaaS. We finally report on three distributed SaaS applications developed with and deployed on our federated multi-cloud PaaS infrastructure.","2159-6190","978-1-4673-2892-0","10.1109/CLOUD.2012.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6253530","Federation;PaaS;SaaS;SCA;interoperability","Kernel;Computer architecture;Java;Engines;Google;Linux;Monitoring","","66","4","18","IEEE","2 Aug 2012","","","IEEE","IEEE Conferences"
"A Browser Agnostic Web Application UI Test Framework: Motivation, Architecture, and Design","C. Merchant; M. Tellez; J. Venkatesan","Microsoft Corporation, Redmond, WA, USA; Microsoft Corporation, Redmond, WA, USA; Microsoft Corporation, Redmond, WA, USA",2009 Sixth International Conference on Information Technology: New Generations,"10 Jun 2009","2009","","","748","751","There are several approaches available for creating Web application UI test automation. This paper describes the motivation for creating a new Web application test framework, and briefly describes the architecture and design of the framework. The framework is browser agnostic, easy to use, employs a high level programming language and development environment allowing integrated debugging and object oriented design, permits low level access to UI controls, and is resilient to UI changes in the application under test. The architecture of the framework features a two-layer design which isolates all browser specific functionality, allowing test scenario developers to focus on testing related issues rather than on implementation details. The architecture of the framework can be used with most modern operating system platforms. Early experience with the framework has been promising.","","978-1-4244-3770-2","10.1109/ITNG.2009.97","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070710","Automatic testing;programming environments;software libraries;software quality;software testing","Service oriented architecture;Automatic testing;Application software;Java;Software testing;Information technology;Design automation;Computer languages;Debugging;Computer architecture","","1","3","5","IEEE","10 Jun 2009","","","IEEE","IEEE Conferences"
"Customizable Functional Web Components for Visual Web Programming","Q. L. Chen; T. Shimomura; K. Ikeda","Information Science and Intelligent Systems, University of Tokushima, Tokushima, Japan; Information Science and Intelligent Systems, University of Tokushima, Tokushima, Japan; Information Science and Intelligent Systems, University of Tokushima, Tokushima, Japan",2009 WRI World Congress on Computer Science and Information Engineering,"24 Jul 2009","2009","7","","580","584","This paper presents high-level functional Web components, which conventional development environments for Web applications have not yet supported. The high-level functional Web components sum up various kinds of data in two dimensions as in Microsoft Excel. These components reduce the amount of code to be written by developers greatly. The paper also describes the system that implements these high-level functional components as visual Web components. This system assists in the development of Web applications based on a page-transition framework that regards a Web application as a sequence of Web page transitions.By using visual Web components, the system makes it easier to write actions executed when a Web page transfers to another.","","978-0-7695-3507-4","10.1109/CSIE.2009.203","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5170385","Web components;Visual programming;Automatic generation;Web applications","Functional programming;Displays;Information science;Intelligent systems;Spreadsheet programs;Web pages;Computer science;Visual databases","","","","27","IEEE","24 Jul 2009","","","IEEE","IEEE Conferences"
"Feature Location Using Probabilistic Ranking of Methods Based on Execution Scenarios and Information Retrieval","D. Poshyvanyk; Y. -G. Gueheneuc; A. Marcus; G. Antoniol; V. Rajlich","Department of Computer Science, Wayne State University, Detroit, MI, USA; Département dinformatique et recherche opérationnelle, Université de Montreal, Montreal, QUE, Canada; Department of Computer Science, Wayne State University, Detroit, MI, USA; Département dinformatique, École Polytechnique de Montréal, Montreal, QUE, Canada; Department of Computer Science, Wayne State University, Detroit, MI, USA",IEEE Transactions on Software Engineering,"7 May 2007","2007","33","6","420","432","This paper recasts the problem of feature location in source code as a decision-making problem in the presence of uncertainty. The solution to the problem is formulated as a combination of the opinions of different experts. The experts in this work are two existing techniques for feature location: a scenario-based probabilistic ranking of events and an information-retrieval-based technique that uses latent semantic indexing. The combination of these two experts is empirically evaluated through several case studies, which use the source code of the Mozilla Web browser and the Eclipse integrated development environment. The results show that the combination of experts significantly improves the effectiveness of feature location as compared to each of the experts used independently","1939-3520","","10.1109/TSE.2007.1016","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4181710","Program understanding;feature identification;concept location;dynamic and static analyses;information retrieval;Latent Semantic Indexing;scenario-based probabilistic ranking;open source software.","Information retrieval;Performance analysis;Indexing;Programming profession;Computer Society;Decision making;Uncertainty;Information analysis;Open source software;Computer bugs","","330","4","13","IEEE","7 May 2007","","","IEEE","IEEE Journals"
"Design of ontology in semantic web engineering process","A. Farooq; A. Shah; K. H. Asif","Computer Science and Engineering Department, University of Engineering and Technology, Lahore, Pakistan; Computer Science and Engineering Department, University of Engineering and Technology, Lahore, Pakistan; Computer Science and Engineering Department, University of Engineering and Technology, Lahore, Pakistan",2007 International Symposium on High Capacity Optical Networks and Enabling Technologies,"15 Aug 2008","2007","","","1","6","Semantic Web (SW) is an extension of current web in which web information resources are accompanied with their formal semantics, understandable by machine. The ontology is the recommended mechanism by W3C for these formal semantics and it is considered as a backbone of every SW application. Its design is remained lack of attention during engineering process of SW applications. In this paper we propose a technique for ontology design during SW application engineering process. By incorporating this technique, existing web applications design methods may easily be upgraded for SW applications. We illustrate proposed technique using a case study, formalize resultant specification it in OWL standards through ontology development tool Protege, and then validate it using W3C online ontology validation service.","1949-4106","978-1-4244-1828-2","10.1109/HONET.2007.4600262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4600262","Semantic web;Ontology;Development Methodology;Ontology Design;Web Applications","Ontologies;Vocabulary;Resource description format;Semantic web","","5","","29","IEEE","15 Aug 2008","","","IEEE","IEEE Conferences"
"Secure hybrid cloud computing: Approaches and use cases","K. Bakshi","Cisco Systems, Inc., Herndon, VA",2014 IEEE Aerospace Conference,"19 Jun 2014","2014","","","1","8","Hybrid cloud is defined as a cloud infrastructure composed of two or more cloud infrastructures (private, public, and community clouds) that remain unique entities, but are bound together via technologies and approaches for the purposes of application and data portability. This paper will review a novel approach for implementing a secure hybrid cloud. Specifically, public and private cloud entities will be discussed for a hybrid cloud approach. The approach is based on extension of virtual Open Systems Interconnection (OSI) Layer 2 switching functions from a private cloud and to public clouds, tunneled on an OSI Layer 3 connection. As a result of this hybrid cloud approach, virtual workloads can be migrated from the private cloud to the public cloud and continue to be part of the same Layer 2 domain as in the private cloud, thereby maintaining consistent operational paradigms in bot the public and private cloud. This paper will introduce and discuss the virtual switching technologies which are fundamental underpinnings of the secure hybrid approach. This paper will not only discuss the virtual Layer 2 technical architecture of this approach, but also related security components. Specifically, data in motion security between the public and private clouds and interworkload secure communication in the public cloud will be reviewed. As part of the hybrid cloud approach, security aspects like encrypted communication tunnels, key management, and security management will be discussed. Moreover, management consoles, control points, and integration with cloud orchestration systems will also be discussed. Additionally, hybrid cloud consideration for network services like network firewall, server load balancers, application accelerators, and network routing functions will be examined. Finally, several practical use cases which can be applicable in the aerospace industry, like workload bursting, application development environments, and Disaster Recovery as a Service will be explored.","1095-323X","978-1-4799-1622-1","10.1109/AERO.2014.6836198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6836198","","Cloud computing;Switches;Virtual machining;Computer architecture;Virtual machine monitors","","2","1","5","IEEE","19 Jun 2014","","","IEEE","IEEE Conferences"
"Predator behavior in the wild web world of bugs: An information foraging theory perspective","S. K. Kuttal; A. Sarma; G. Rothermel","Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA; Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE, USA",2013 IEEE Symposium on Visual Languages and Human Centric Computing,"24 Oct 2013","2013","","","59","66","Web active end users often coalesce web information using web mashups. Web contents, however, tend to evolve frequently, and along with the black box nature of visual languages this complicates the process of debugging mashups. While debugging, end users need to locate faults within the code and then find a way to correct them; this process requires them to seek information related to web page content and behavior. In this paper, using an information foraging theory lens, we qualitatively study the debugging behaviors of 16 web-active end users. Our results show that the stronger scents available within mashup programming environments can improve users' foraging success. Our results lead to a new model for debugging activities framed in terms of information foraging theory, and to a better understanding of ways in which end-user programming environments can be enhanced to better support debugging.","1943-6106","978-1-4799-0369-6","10.1109/VLHCC.2013.6645244","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6645244","","Debugging;Mashups;Navigation;Computer bugs;Programming;Fault diagnosis;IEEE Potentials","","19","","34","IEEE","24 Oct 2013","","","IEEE","IEEE Conferences"
"Programming at runtime: Requirements & paradigms for nonprogrammer web application development","",,"IEEE Symposium on Human Centric Computing Languages and Environments, 2003. Proceedings. 2003","14 Jan 2004","2003","","","23","30","We investigate the femibiliy of nonprogramnier web application development and propose the creation of end-user programming tools that address the issue at a high level of abstraction. The results of three related empirical studies and one protoping effort are reported. We surveyed nonprogrammers' needs for web applications and studied how nonprogrammers would naturally approach web development. To express what a tool should provide we summarize high-level components and concepts employed by web applications. To express how a tool may provide its functionality, we propose ""Programming-at-Runtime"" - a programming paradigm that is in its core similar to the automatic recalculation in spreadsheets. Finally, we introduce ""FlashLight"" - a protoype web development tool for nonprogrammers.","","0-7803-8225-0","10.1109/HCC.2003.1260198","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1260198","","Runtime;Programming profession;Functional programming;Automatic programming;HTML;Publishing;World Wide Web;Reliability engineering;Power engineering and energy;Power system economics","","2","","31","IEEE","14 Jan 2004","","","IEEE","IEEE Conferences"
"Analysis of design patterns in OpenNebula","L. A. Rahim","Computer and Information Sciences Department, Universiti Teknologi Petronas, Tronoh, Perak, Malaysia",2014 International Conference on Computer and Information Sciences (ICCOINS),"31 Jul 2014","2014","","","1","6","Computer system models and designs have been used in helping verification and validation activities. Computer systems have also been designed to make verification and validation easier such as the work on Design for Verification. The concepts of separation of concerns and modular design are two examples of how design decisions can make verification and validation easier. The objective of this research is to verify cloud-based systems and use its design to make the verification easier. Since a cloud-based system consists of many interacting software and hardware components, we start with verifying OpenNebula, a cloud-based system middleware. The methodology is to analyze OpenNebula's code and identify the design patterns that will later be used in simplifying the verification. The analysis is performed by reverse engineering the code using class diagram generation tools and code analysis functions in an Intergrated Development Environment (IDE). This paper will present the design patterns in OpenNebula and how it can influence the verification.","","978-1-4799-4390-6","10.1109/ICCOINS.2014.6868443","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6868443","","Algorithm design and analysis;Security;Cloud computing;Computers;Computer architecture;Virtual machining","","","1","25","IEEE","31 Jul 2014","","","IEEE","IEEE Conferences"
"Research on a Retrieval System Based on Semantic Web","J. Qu; C. Wei; W. Wang; F. Liu","School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China",2011 International Conference on Internet Computing and Information Services,"31 Oct 2011","2011","","","543","545","Currently, the World Wide Web is a medium for storing and sharing data. Search based on keyword matching and content classified are two methods of the traditional search, however, their performance of processing exponential growth data is unsatisfactory. The concept of the Semantic Web, which was proposed to solve the shortage of network intelligence in 2001, provided the feasibility solutions of retrieving. The Semantic Web application could become a reality since XML (Extensible Markup Language), RDF (Resource Description Framework) and OWL (Web Ontology Language) are improved and the emergence of Jena which is the Semantic Web [1] development tools. So the concept of semantic retrieval with Semantic Web technology and search engine technology comes up, we aim to propose a system Architecture based on Semantic Web.","","978-1-4577-1561-7","10.1109/ICICIS.2011.142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6063320","semantic web;search engine;jena;XML;RDF;OWL","Resource description framework;Ontologies;Engines;Data models;Search engines;XML","","2","","7","IEEE","31 Oct 2011","","","IEEE","IEEE Conferences"
"Study and design of web-based enterprise services integration","Yang Yiping; Wu Zhuang","Information College, Capital University of Economics and Business, Beijing, China; Information College, Capital University of Economics and Business, Beijing, China",2009 2nd IEEE International Conference on Computer Science and Information Technology,"11 Sep 2009","2009","","","595","598","As an object/component deployed on Web, Web service is a self-describing, self- contained, and modular application. Its most distinguished feature is that it can cross multiple platforms. It supports multiple programming languages, runtime networks and environments, and can be explained with the XML language. In Web service, different development tools can interact with each other to realize integration between applications. With only Internet standard protocols, such as HTTP or XML, Web service enables client access. With standard protocol such as XML and SOAP, Web can integrate all kinds of heterogeneous system into current system convenientlv and quickly, and promote the EAI implementation effectively, especially provide a high-quality and low-cost solution to enterprise application integration. This paper introduces the integration of enterprise application, Then analyzing the architectures and key technologies of Web services, propose a solution to the integration of enterprise application based on Web.","","978-1-4244-4519-6","10.1109/ICCSIT.2009.5234492","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5234492","Web service;Enterprise Application Integration;J2EE","Web services;XML;Access protocols;Application software;Web and internet services;Simple object access protocol;Service oriented architecture;Educational institutions;Computer languages;Runtime","","","","6","IEEE","11 Sep 2009","","","IEEE","IEEE Conferences"
"Seahawk: Stack Overflow in the IDE","L. Ponzanelli; A. Bacchelli; M. Lanza","REVEAL @ Faculty of Informatics, University of Lugano, Switzerland; REVEAL @ Faculty of Informatics, University of Lugano, Switzerland; REVEAL @ Faculty of Informatics, University of Lugano, Switzerland",2013 35th International Conference on Software Engineering (ICSE),"26 Sep 2013","2013","","","1295","1298","Services, such as Stack Overflow, offer a web platform to programmers for discussing technical issues, in form of Question and Answers (Q&A). Since Q&A services store the discussions, the generated “crowd knowledge” can be accessed and consumed by a large audience for a long time. Nevertheless, Q&A services are detached from the development environments used by programmers: Developers have to tap into this crowd knowledge through web browsers and cannot smoothly integrate it into their workflow. This situation hinders part of the benefits of Q&A services. To better leverage the crowd knowledge of Q&A services, we created Seahawk, an Eclipse plugin that supports an integrated and largely automated approach to assist programmers using Stack Overflow. Seahawk formulates queries automatically from the active context in the IDE, presents a ranked and interactive list of results, lets users import code samples in discussions through drag & drop and link Stack Overflow discussions and source code persistently as a support for team work. Video Demo URL: http://youtu.be/DkqhiU9FYPI.","1558-1225","978-1-4673-3076-3","10.1109/ICSE.2013.6606701","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606701","","Engines;Documentation;Navigation;Servers;Programming;Sockets;XML","","61","2","12","IEEE","26 Sep 2013","","","IEEE","IEEE Conferences"
"Analysis of Reference System Development Technology","C. Zhang",NA,"2011 Third Pacific-Asia Conference on Circuits, Communications and System (PACCS)","18 Aug 2011","2011","","","1","3","This paper analyzed the Reference System software development environment, the system architecture of the browser/server mode is analyzed in detail, described the object-oriented analysis method, Analyzed the main actors and use cases of reference system, described the various development environments and tools and presented different development framework according to different needs.This paper also analyzes some new technologies of reference system, mainly analysis category navigation system;introduced Chinese segmentation, quizzes indexing and search technology based on lucene; and analyzed methods and strategies of the question recommendation from the question, the reader and the consulting expert.","","978-1-4577-0856-5","10.1109/PACCS.2011.5990207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5990207","","Browsers;Computers;Indexing;Web servers;Libraries","","","","7","IEEE","18 Aug 2011","","","IEEE","IEEE Conferences"
"Benefits and challenges of three cloud computing service models","J. Gibson; R. Rondeau; D. Eveleigh; Q. Tan","Athabasca University, Athabasca, Canada; Athabasca University, Athabasca, Canada; Athabasca University, Athabasca, Canada; Athabasca University, Athabasca, Canada",2012 Fourth International Conference on Computational Aspects of Social Networks (CASoN),"17 Jan 2013","2012","","","198","205","Cloud computing can be defined as the use of new or existing computing hardware and virtualization technologies to form a shared infrastructure that enables web-based value added services. The three predominant service models are infrastructure, platform, and software-asa-service. Infrastructure-as-a-Service (IaaS) can be defined as the use of servers, storage, and virtualization to enable utility like services for users. Security is a big concern within IaaS, especially considering that the rest of the cloud service models run on top of the infrastructure and related layers. Platform-as-a-Service (PaaS) providers offer access to APIs, programming languages and development middleware which allows subscribers to develop custom applications without installing or configuring the development environment. Software-as-a-Service (SaaS) gives subscribed or pay-peruse users access to software or services which reside in the cloud and not on the user's device. Understanding the cloud service models is critical in determining if cloud services or hosting are an appropriate business solution, and if so, which model best balances the level of control required versus reduced hardware, configuration, and maintenance costs. Cloud computing offers many benefits to organizations; it has enabled collaboration amongst disparate communities and workgroups, and has overcome challenges that have plagued existing business solutions. However, the security, privacy, and integrity of the cloud are of prime importance and there are many challenges that exist. At the present time there seems to be a lot of momentum behind the adoption of cloud computing despite these. This may simply be a trend, an indication that society truly wants their data to be available whenever from anywhere, or a sign that few understand the associated risks.","","978-1-4673-4794-5","10.1109/CASoN.2012.6412402","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6412402","clouds;cloud computing;cloud layers;infrastructure as a service;IaaS;platform as a service;PaaS;software as a service;SaaS;service oriented;security;privacy;cloud challenges;cloud benefits","Security;Cloud computing;Software as a service;Computational modeling;Hardware;Educational institutions","","46","","52","IEEE","17 Jan 2013","","","IEEE","IEEE Conferences"
"WappenLite and its Flash-based user interface for novice learners","Z. Chen; K. Kagawa","Kagawa University, Takamatsu, Kagawa, Japan; Kagawa University, Takamatsu, Kagawa, Japan",The 2010 IEEE International Conference on Information and Automation,"19 Jul 2010","2010","","","840","845","This paper presents WappenLite, a Web-based application framework aimed primarily at lightweight educational programming environments, with a Flash-based editor component designed for novice learners. Most existing Web-based educational programming environments, often designed for a single programming language, offer little room for customization. Our research group has developed a Web-based application framework for educational programming environments called Wappen. Wappen-based applications can be adapted for a variety of programming languages and support extensive customization by teachers via the Eclipse RCP (Rich Client Platform). However, Wappen-based applications have some deficiencies. In particular, they can be slow to start up because of their large size, and it is difficult for teachers to tailor user interfaces written using the SWT (Standard Widget Toolkit). WappenLite is more lightweight and can offer a richer user interface because it allows teachers to use HTML and Flash as the platform for writing user interfaces. This paper describes a Flash-based user interface that is designed for novice learners and implemented as a WappenLite-based application.","","978-1-4244-5704-5","10.1109/ICINFA.2010.5512458","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5512458","Web;Programming;RCP;Flash","User interfaces;Programming environments;Computer languages;Java;Program processors;Programming profession;Application software;Automation;Joining processes;Libraries","","2","","10","IEEE","19 Jul 2010","","","IEEE","IEEE Conferences"
"A computer aided learning package using the World Wide Web","J. Zakis; B. Mihajlovic; F. Crusca","Department of Electrical and Computer Systems Engineering, Monash University, Caulfield, Australia; Department of Electrical and Computer Systems Engineering, Monash University, Caulfield, Australia; Department of Electrical and Computer Systems Engineering, Monash University, Caulfield, Australia",1996 IEEE International Conference on Multi Media Engineering Education. Conference Proceedings,"6 Aug 2002","1996","","","383","388","The World Wide Web can be used a powerful and convenient means of disseminating computer aided education because most students already have access to the Web and the necessary Web browsers such as Netscape. There are many benefits in this approach because students already tend to do significant amounts of Internet surfing and are familiar with the usage of Web sites and browsers. Therefore online instruction for their coursework using this all pervasive computer network which may be accessed from almost anywhere is a powerful and beneficial low cost alternative to other forms of computer aided learning. The key aims of this package development are to provide a compact and self contained package of instruction in the features and facilities provided by the C programming language together with an introduction to the Unix programming environment with its vast range of utilities and command interpreter shells. Part of this introduction to Unix is provided in the Bourne Shell as a programming language instruction module.","","0-7803-3173-7","10.1109/MMEE.1996.570288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=570288","","Computer aided instruction;Packaging;Web sites;Software packages;Education;Software tools;World Wide Web;Courseware;Power engineering computing;Computer languages","","1","","2","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"VMAC: a GUI-based Web-based simulation environment","Yeonghwan Nam; Kihyung Kim","Department of Computer Engineering, Yeungnam University, South Korea; Department of Computer Engineering, Yeungnam University, South Korea",Proceedings of IEEE. IEEE Region 10 Conference. TENCON 99. 'Multimedia Technology for Asia-Pacific Information Infrastructure' (Cat. No.99CH37030),"6 Aug 2002","1999","2","","1498","1501 vol.2","Web-based simulation was introduced for conducting simulation experiments on the Internet and the Web. Due to the use of the Java language, Web-based simulation can have such characteristics as reusability, portability and the capability of execution on the Web. Most of the existing Web-based simulation tools have focused mainly on the development of runtime simulation libraries and mechanisms on the Web. Thus, the model development work in such Web-based simulation tools still requires hand-written coding of model developers. This paper presents a visual model development environment for Web-based simulation. The proposed environment provides a framework for model development and animation. To show the effectiveness of the proposed environment we perform simulation experiments for transaction routing algorithms in a distributed transaction processing system.","","0-7803-5739-6","10.1109/TENCON.1999.818718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=818718","","Java;Computational modeling;Circuit simulation;Animation;Computer simulation;Internet;Runtime library;Routing;Graphical user interfaces;Electronic mail","","1","","15","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Research on constructing distributed large database based on J2EE","X. Song; R. Zhang","School of Computer Science and Technology, Huanghuai University, Zhumadian, China; School of Computer Science and Technology, Huanghuai University, Zhumadian, China",2011 IEEE 3rd International Conference on Communication Software and Networks,"8 Sep 2011","2011","","","704","707","Distributed multimedia database is the distributed database and multimedia database combination. Distributed mass of large distributed database multimedia database, especially in recent years in education, health, culture, tourism, government administration, commerce and other aspects of a wide range of applications. Based on the study of distributed large-scale multimedia database technology, the combination of multimedia database construction project is given the browser database - middleware file system (or hyperlink) the four architecture of the distributed multimedia database model; database for the system selection, development tools, development environment and data organization were discussed.","","978-1-61284-486-2","10.1109/ICCSN.2011.6014989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6014989","Database;Distributed;J2EE","Distributed databases;Couplings;Humans;HTML;Data models;Computational modeling","","1","","10","IEEE","8 Sep 2011","","","IEEE","IEEE Conferences"
"MobileWeb/sup TM/ changing the face of mobile networking through universal wireless connectivity","P. Kennedy","CellPort Laboratories, Inc., Boulder, CO, USA",IEEE Technical Applications Conference. Northcon/96. Conference Record,"6 Aug 2002","1996","","","89","94","Internet and World Wide Web application development tools and standards simplify networking opportunities. This opens avenues for new business and personal applications. CellPort Labs extends this ever expanding networking paradigm by combining the power of the Internet and World Wide Web with the flexibility of wireless connectivity, changing the face of mobile networking. CellPort Labs' MobileWeb/sup TM/ technology integrates a complete ""mobile"" Internet/Web server into appropriately equipped vehicles. Running on the CellPort controller/server, and coupled with its patented universal wireless port technology, MobileWeb/sup TM/ opens an unlimited range of bidirectional data networking opportunities and applications, unencumbered or restricted by a single, fixed geographic location. The MobileWeb/sup TM/ looks and functions like any other TCP/IP and HTTP-based Internet/Web site. Using standardized applications development tools, it enables unprecedented mobile networking capability by reducing development complexity. Requirements for customized application development are more easily accommodated, lowering economic barriers and opening mobile networking opportunities to businesses and consumers.","","0-7803-3277-6","10.1109/NORTHC.1996.564745","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=564745","","IP networks;Web sites;Internet;Web server;Standards development;Appropriate technology;Vehicles;Network servers;TCPIP;Power generation economics","","","10","","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Intelligent health information system to empower patients with chronic diseases","S. Islam; G. Freytag; R. Shankar","Computer & Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL; Inc. Deerfield Beach, Deerfield Beach, FL; Center for Systems Integration Florida Atlantic University, Boca Raton, FL",2012 IEEE 13th International Conference on Information Reuse & Integration (IRI),"17 Sep 2012","2012","","","734","737","Semantic Web technologies can be utilized to keep patients informed on the latest research on chronic diseases such as diabetes, by gathering online information published by both government and corporate sources. To assemble our Intelligent Health Information System, we created an ontology of terms related to diabetes. Then we leveraged an open-source API to read the ontology into a graphical application, which we also built in an open-source development environment. The application searched for articles on diabetes using a web service and a web crawler. The ultimate goal for our system is to synthesize the information that it gathers, make it customer-specific, and present it to the patient in an easy to understand format.","","978-1-4673-2284-3","10.1109/IRI.2012.6303085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6303085","Intelligent Health Information System;Semantic Web;Biomedical Informatics;Web Services;Web Crawler","Ontologies;Databases;OWL;Diabetes;Web services;Crawlers","","2","","10","IEEE","17 Sep 2012","","","IEEE","IEEE Conferences"
"Orange4WS Environment for Service-Oriented Data Mining","V. Podpečan; M. Zemenova; N. Lavrač",NA; NA; NA,The Computer Journal,"18 Jan 2018","2012","55","1","82","98","Novel data-mining tasks in e-science involve mining of distributed, highly heterogeneous data and knowledge sources. However, standard data mining platforms, such as Weka and Orange, involve only their own data mining algorithms in the process of knowledge discovery from local data sources. In contrast, next generation data mining technologies should enable processing of distributed data sources, the use of data mining algorithms implemented as web services, as well as the use of formal descriptions of data sources and knowledge discovery tools in the form of ontologies, enabling automated composition of complex knowledge discovery workflows for a given data mining task. This paper proposes a novel Service-oriented Knowledge Discovery framework and its implementation in a service-oriented data mining environment Orange4WS (Orange for Web Services), based on the existing Orange data mining toolbox and its visual programming environment, which enables manual composition of data mining workflows. The new service-oriented data mining environment Orange4WS includes the following new features: simple use of web services as remote components that can be included into a data mining workflow; simple incorporation of relational data mining algorithms; a knowledge discovery ontology to describe workflow components (data, knowledge and data mining services) in an abstract and machine-interpretable way, and its use by a planner that enables automated composition of data mining workflows. These new features are showcased in three real-world scenarios.","1460-2067","","10.1093/comjnl/bxr077","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8130311","data mining;knowledge discovery;knowledge discovery ontology;e-science workflows;automated planning of data mining workflows","","","6","1","","","18 Jan 2018","","","OUP","OUP Journals"
