"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Evaluation and technological solutions for a dynamic, unified cloud programming development environment : Ease of use and applicable system for uniformized practices and assessments","G. Molnár; C. József; K. Éva","Kandó Kálmán Faculty of Electrical Engineering, Óbuda University, Budapest, Hungary; GAMF Faculty of Engineering and Computer Science, John Von Neumann University, Kecskemét, Hungary; Doctoral School of Multidisciplinary, Engineering Sciences (MMTDI), Széchenyi University, Győr, Hungary",2023 IEEE 21st World Symposium on Applied Machine Intelligence and Informatics (SAMI),"17 Feb 2023","2023","","","000237","000240","The dynamic development and change of the world also result in the modernization of teacher-student relationships. In the training, educational processes must be planned with innovative strategies that meet the increasingly changing needs of students, which today go beyond the traditional classroom and methodological frameworks. In this article, we present a technological solution to support the renewal efforts in the education world that, on the one hand, takes advantage of the benefits of cloud-based services, and on the other hand, ensures that students can acquire the material of a given course in a unified, stable environment. The isolated environment offered by the virtual space guarantees private work sessions, and multi-project activities can also be handled more easily and uniformly. The analysis of the teaching program presented below provides insight into the practical and appropriate solutions offered by the containerization process. In addition to these, the topic will also cover the widely used and popular Docker application that supports the implementation of the process, as well as the NodeJS environment closely related to the project.","","979-8-3503-1986-6","10.1109/SAMI58000.2023.10044519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044519","teach program;virtual environment;containerization;Docker;NodeJS;cloud-based services","Training;Cloud computing;Dynamic programming;Informatics;Programming profession;Machine intelligence","","2","","15","IEEE","17 Feb 2023","","","IEEE","IEEE Conferences"
"Exploring the Relationship Between Programming Difficulty and Web Accesses","D. Long; K. Wang; J. Carter; P. Dewan","Georgia Institute of Technology, Atlanta, GA, USA; UNC-Chapel Hill, Chapel Hill, NC, USA; Cisco Systems-RTP, Raleigh, NC, USA; UNC-Chapel Hill, Chapel Hill, NC, USA",2018 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"25 Oct 2018","2018","","","131","135","This work addresses difficulty in web-supported programming. We conducted a lab study in which participants completed a programming task involving the use of the Java Swing/AWT API. We found that information about participant web accesses offered additional insight into the types of difficulties faced and how they could be detected. Difficulties that were not completely solved through web searches involved finding information on AWT/Swing tutorials, 2-D Graphics, Components, and Events, with 2-D Graphics causing the most problems. An existing algorithm to predict difficulty that mined various aspects of programming-environment actions detected more difficulties when it used an additional feature derived from the times when web pages were visited. This result is consistent with our observation that during certain difficulties, subjects had little interaction with the programming environment, they made more web visits during difficulty periods, and the new feature added information not available from features of the modified existing algorithm. The vast majority of difficulties, however, involved no web interaction and the new feature resulted in higher number of false positives, which is consistent with the high variance in web accesses during both non-difficulty and difficulty periods.","1943-6106","978-1-5386-4235-1","10.1109/VLHCC.2018.8506511","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8506511","interactive programming environments;affective computing;distributed help;web foraging;intelligent tutoring","Task analysis;Programming;Web search;Prediction algorithms;Java;Web pages;Programming environments","","1","","16","IEEE","25 Oct 2018","","","IEEE","IEEE Conferences"
"TauLiM: Test Data Augmentation of LiDAR Point Cloud by Metamorphic Relation","J. Lin; J. Liu; Q. Zhang; X. Zhang; C. Fang","State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China; State Key Laboratory for Novel Software Technology, Nanjing University, China",2022 IEEE/ACM 44th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),"13 Jun 2022","2022","","","217","221","With the rapid development of object detection in deep learning (DL), applications on LiDAR point clouds have received much attention, such as autonomous driving. To verify the robustness of object detection models by testing, large amounts of diversifted annotated LiDAR point clouds are required to be used as test data. However, considering the sparseness of objects, the diversity of the existing point cloud dataset is limited by the number and types of objects. Therefore, it is important to generate diversifted point clouds by test data augmentation. In this paper, we propose a tool for LiDAR point cloud via test data augmentation, named TauLiM. A well-designed metamorphic relation (MR) [1] is proposed to augment point clouds while maintaining their physical characteristic of LiDAR. TauLiM is composed of three modules, namely point cloud configuration, coordinate filtering, and object insertion. To evaluate our tool, we employ experiments to compare the ability of testing between the existing dataset and the augmented one. The result shows that TauLiM can effectively augment diversified test data and test the object detection model. The video of TauLiM is available at https://www.youtube.com/watch?v=9S6xpRbbhtQ and TauLiM can be used at http://1.13.193.98:2601/.","2574-1926","978-1-6654-9598-1","10.1145/3510454.3516860","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793740","Software and its engineering → Software testing and development environments;Computing methodologies → Machine learning;Information systems→World Wide Web;Networks→Cyber-physical networks; Cloud computing","Point cloud compression;Software testing;Deep learning;Laser radar;Filtering;Object detection;Data models","","1","","16","","13 Jun 2022","","","IEEE","IEEE Conferences"
"A Static IDE Plugin to Detect Security Hotspot for Laravel Framework Based Web Application","M. Anis Al Hilmi; Raswa; R. Robiyanto; D. Oranova Siahaan; A. Puspaningrum; H. Susanti Samosir","Informatics Departement, Politeknik Negeri Indramayu, Indramayu, Indonesia; Informatics Departement, Politeknik Negeri Indramayu, Indramayu, Indonesia; Informatics Departement, Politeknik Negeri Indramayu, Indramayu, Indonesia; Informatics Departement Institut Teknologi Sepuluh Nopember, Surabaya, Indonesia; Informatics Departement, Politeknik Negeri Indramayu, Indramayu, Indonesia; Information Technology Institut Teknologi Del, Toba Samosir, Indonesia",2023 IEEE International Conference on Data and Software Engineering (ICoDSE),"27 Oct 2023","2023","","","1","6","Automatic detection of potential vulnerabilities is critical to promoting application security awareness. It should be performed at the earliest stages of the software development life cycle, the goal being to minimize risk, regardless of the progress of various vulnerability detection techniques in program code, both static and with deep learning, website application developers need to be assisted with notifications in real time, not waiting for the entire project to be completed directly from the IDE they use to stay focused. A common problem with vulnerability detection tools is annoying false-positive results and a lack of anticipation of new or unknown vulnerabilities. Therefore, in this work, we choose an approach to identify patterns and spots where there are potential vulnerabilities, termed security hotspots, so as not to detect vulnerabilities directly. We propose a rule-based plugin integrated into the IDE, which can detect eight security hotspots in the PHP web application program code based on the Laravel framework. We have implemented a proof-of-concept extension/plugin in the popular VSCode code editor (for this initial stage, only running on Windows OS), which is developed from PHP_CodeSniffer. Experiments on 10 Laravel-based projects presented an accuracy of 98.6% and an F1 score of 87.36%. When running, the extension takes 1 ms for the shortest number of tokens, 66 tokens, and 382 ms for the most extended tokens (4,051 tokens). The result shows that this plugin can help in code analysis on Laravel-based projects. Our approach can also effectively complement existing software security best practices.","2640-0227","979-8-3503-8138-2","10.1109/ICoDSE59534.2023.10291941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10291941","security;vulnerabilities;security hotspot;static analysis;Laravel","Deep learning;Codes;Software;Real-time systems;Application security;Security;Best practices","","","","29","IEEE","27 Oct 2023","","","IEEE","IEEE Conferences"
"Web based programming tool with speech recognition for visually impaired users","K. Lunuwilage; S. Abeysekara; L. Witharama; S. Mendis; S. Thelijjagoda","Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe; Faculty of Computing, Sri Lanka Institute of Information Technology, Malabe","2017 11th International Conference on Software, Knowledge, Information Management and Applications (SKIMA)","19 Feb 2018","2017","","","1","6","Today programming requires to be able to code textually, but it also requires to be visual. Therefore, both of these have left visually impaired users in a very difficult position when it comes for learning and applying programming. There are tools that enable visually impaired users to use computers, but none of them has been specialized to aid the visually impaired users in various programming issues. The aim of this project is to develop a web application, especially for visually impaired people to facilitate to learn programming concepts. Designed solution is an application, based on speech recognition, semantic analysis, user interaction, and braille engine, which can use as a smart programming tool for visually impaired and differently abled people. It's a method of implementing a new way to help and motivate disable people, to use latest technologies in Information Technology and software engineering aspects. Here, researchers are focusing on Java language because it is considered as simple rather than other languages that programmers use today. This research helps to all visually impaired people, who are interested in coding, by teaching programming concepts and empower them to achieve the best future by giving programming theories simply with coding examples. Guide the user gradually by giving voice commands what to do next, and what can you try out according to their skills. It is expected to address the research gap in code generation according to voice commands.","2573-3214","978-1-5386-4602-1","10.1109/SKIMA.2017.8294132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8294132","Visually Impaired Programming;Speech Recognition;Automatic Speech Recognition;Natural Language Processing;Braille","Speech recognition;Speech;Tools;Programming profession;Engines;Semantics","","5","","18","IEEE","19 Feb 2018","","","IEEE","IEEE Conferences"
"Visual Studio 2019 Tricks and Techniques: A developer's guide to writing better code and maximizing productivity","P. Schroeder; A. Cure; E. Price",NA; NA; NA,Visual Studio 2019 Tricks and Techniques: A developer's guide to writing better code and maximizing productivity,"","2021","","","","","Harness the full power of the Visual Studio IDE to take your coding skills to the next level by learning about IDE productivity practices and exclusive techniquesKey FeaturesIncrease your productivity by leveraging Visual Studio 2019's improvements and featuresExplore powerful editing, code intelligence, and source code control features to increase productivityDelve into VS’s powerful, untapped features such as custom project templates and extensionsBook DescriptionVisual Studio 2019 (VS 2019) and Visual Studio Code (VS Code) are powerful professional development tools that help you to develop applications for any platform with ease. Whether you want to create web, mobile, or desktop applications, Microsoft Visual Studio is your one-stop solution. This book demonstrates some of the most sophisticated capabilities of the tooling and shows you how to use the integrated development environment (IDE) more efficiently to be more productive. You’ll begin by gradually building on concepts, starting with the basics. The introductory chapters cover shortcuts, snippets, and numerous optimization tricks, along with debugging techniques, source control integration, and other important IDE features that will help you make your time more productive. With that groundwork in place, more advanced concepts such as the inner workings of project and item templates are covered. You will also learn how to write quality, secure code more efficiently as well as discover how certain Visual Studio features work 'under the hood'. By the end of this Visual Studio book, you’ll have learned how to write more secure code faster than ever using your knowledge of the extensions and processes that make developing successful solutions more enjoyable and repeatable.What you will learnUnderstand the similarities and differences between VS 2019 and VS CodeGet to grips with numerous keyboard shortcuts to improve efficiencyDiscover IDE tips and tricks that make it easier to write codeExperiment with code snippets that make it easier to write repeating code patternsFind out how to customize project and item templates with the help of hands-on exercisesUse Visual Studio extensions for ease and improved productivityDelve into Visual Studio’s behind the scene operationsWho this book is forThis book is for C# and .NET developers who want to become more efficient and take advantage of features they may not be aware of in the IDE. Those looking to increase their productivity and write quality code more quickly by fully utilizing the power of the Visual Studio IDE will also find this book useful.","","9781800200142","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162554.pdf&bkn=10162553&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Creating a Private Cloud using FTP Server","A. S. reddy; A. Mahendra; S. Krishna; N. Neelima","Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada",2021 5th International Conference on Intelligent Computing and Control Systems (ICICCS),"26 May 2021","2021","","","159","161","Data plays an indispensable role in our day-to-day lives. Also, in this digital era, the amount of data is increasing at an unprecedented rate, which in turn requires specific storage devices to store different types of data. Despite the hype, maintaining these devices require high cost. Sometimes these devices may also get corrupted and also it require a lot of devices to store data. To reduce these problem, this research work maintains a cloud space, which can be accessed through a FTP login(admin), where user need to register/subscribe to access the cloud. After successful registration they will get links through mobile number, and then they need to login to upload their data. Here, the Data is protected by using ROTA algorithm. Also, the poposed research work provides bitcoin transaction as an additional feature. A private cloud has been created for storage and later it was implemented and created by using NetBeans IDE. The user can upload and download the data into the cloud by using FTP server. The bitcoin transaction shows the graph with different tokens entered by the user.","","978-1-6654-1272-8","10.1109/ICICCS51141.2021.9432320","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9432320","Cloud space;FTP;ROTA;NetBeans IDE","Cloud computing;Bitcoin;Control systems;Servers","","","","12","IEEE","26 May 2021","","","IEEE","IEEE Conferences"
"Providing Security to private cloud Using AES Algorithm","A. S. Reddy; S. c. Krishna; A. Mahendra; N. Neelima","Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada; Department of IT, V R Siddhartha Engineering college, Vijayawada",2021 Third International Conference on Inventive Research in Computing Applications (ICIRCA),"1 Oct 2021","2021","","","1","5","In this digital era, people are generating huge amount of data. This necessitates the need to develop a specific device to store all the data. Generally, the data will be stored in pen drives, hard drives, etc. sometimes the data will be lost due to the corrupt devices. To overcome all these issues, this research work has implemented a cloud space for storing the data and it provides more security to the data. The data can just be accessed by using the internet from anywhere in the world. All these techniques were implemented with the java by using Net beans IDE. Once user uploads the data, the user will not have any rights to change the data. User uploaded files are stored in the cloud with the file name as system time and a directory will be created with some random words. Also, the cloud accepts the data only if the size of file is less than 2MB.","","978-1-6654-3877-3","10.1109/ICIRCA51532.2021.9545001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9545001","Cloud space;AES;FTP;NetBeans IDE;SOAP;Security","Cloud computing;Java;Security","","1","","16","IEEE","1 Oct 2021","","","IEEE","IEEE Conferences"
"Development of Visual Dashboard for River Monitoring System","Y. A. Ahmad; T. S. Gunawan; M. H. M. R. A. Munir; N. M. Yusoff; M. Kartiwi; H. Mansor","Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Electrical and Computer Engineering Dept, International Islamic University Malaysia, Kuala Lumpur, Malaysia","2022 IEEE 8th International Conference on Smart Instrumentation, Measurement and Applications (ICSIMA)","28 Oct 2022","2022","","","267","272","Monitoring a tributary’s water depth and velocity can provide a wealth of information for ecological systems. Typically, tributaries are located deep within the jungle, and manual measurement is the norm. The research aims to develop a real-time remote monitoring system for measuring water depth and velocity. The system uses ultrasonic and water flow sensors to measure velocity and river depth. The data will be transmitted to the back-end software, including Arduino IDE and Node-RED, for data collection. The data is then stored in the cloud database InfluxDB for future use. The data can be set to be automatically deleted every 1 hour, 1 day, 1 month, or at other time intervals. The Grafana platform can produce an interactive Graphical User Interface (GUI), and the administrator can modify the visual dashboard using either their program code or existing features. It can then be made available to the general public as an observer for the online visual dashboard via the Uniform Resource Locator (URL).","2640-6535","978-1-6654-8800-6","10.1109/ICSIMA55652.2022.9928973","Ministry of Higher Education; Universiti Teknologi Malaysia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9928973","real-time remote monitoring;IoT;Node-RED;Arduino IDE;cloud database;visual dashboard.","Uniform resource locators;Visualization;Ultrasonic variables measurement;Real-time systems;Software;Sensor systems;Rivers","","","","10","IEEE","28 Oct 2022","","","IEEE","IEEE Conferences"
"Expanding the Concept of Learning Space in Biomedical Engineering Education using Wearable Devices and Cloud-based Collaborative Programming Environments","L. Montesinos; A. Santos-Diaz; D. E. Salinas-Navarro; L. Cendejas-Zaragoza","Institute of Advanced Materials for Sustainable Manufacturing Tecnologico de Monterrey, Mexico City, Mexico; School of Engineering and Sciences, Tecnologico de Monterrey, Mexico City, Mexico; Aston Business School, Aston University, Birmingham, UK; Summa Health System, Neuroscience Institute, Akron, OH, USA",2023 Future of Educational Innovation-Workshop Series Data in Action,"21 Apr 2023","2023","","","1","5","Biomedical engineering undergraduate students often underestimate the relevance of their courses as they hardly perceive their practical application in future professional development, resulting in a lack of interest, motivation, and engagement. This issue may be addressed by implementing practical or “hands-on” learning experiences that allow students to construct their knowledge and apply skills in real-world scenarios. This work proposes to create learning experiences supported by blended learning spaces, including traditional classrooms for direct instruction, daily-life scenarios for experiential learning enabled by wearable devices, and cloudbased programming environments for online collaborative work. The learning experience presented was implemented in a biomedical signals and systems course. Students used health wearables to record their physiological and behavioral signals in everyday scenarios and Google Collaboratory notebooks to analyze the collected data. The survey results applied to students suggest that technology-enabled blended learning spaces positively impact students’ perception of their learning experience. However, other potential benefits in learning derived from the use of technologies, such as increased student engagement and motivation and improved learning outcomes, require further investigation. This is particularly relevant given the monetary investment that scaling up this pedagogical approach would need.","","978-1-6654-9416-8","10.1109/IEEECONF56852.2023.10104837","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10104837","engineering education;learning spaces;technology-enabled learning;wearable devices;cloud computing technology;higher education;educational innovation","Technological innovation;Federated learning;Wearable computers;Space technology;Collaboration;Physiology;Internet","","1","","31","IEEE","21 Apr 2023","","","IEEE","IEEE Conferences"
"Supporting Web-Based API Searches in the IDE Using Signatures","N. C. Bradley; T. Fritz; R. Holmes","The University of British Columbia, Canada; University of Zurich, Switzerland; The University of British Columbia, Canada",2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),"14 Jun 2024","2024","","","2295","2306","Developers frequently use the web to locate API examples that help them solve their programming tasks. While sites like Stack Overflow (SO) contain API examples embedded within their textual descriptions, developers cannot access this API knowledge directly. Instead they need to search for and browse results to select relevant SO posts and then read through individual posts to figure out which answers contain information about the APIs that are relevant to their task. This paper introduces an approach, called Scout, that automatically analyzes search results to extract API signature information. These signatures are used to group and rank examples and allow for a unique API-based presentation that reduces the amount of information the developer needs to consider when looking for API information on the web. This succinct representation enables Scout to be integrated fully within an IDE panel so that developers can search and view API examples without losing context on their development task. Scout also uses this integration to automatically augment queries with contextual information that tailors the developer's queries, and ranks the results according to the developer's needs. In an experiment with 40 developers, we found that Scout reduces the number of queries developers need to perform by 19% and allows them to solve almost half their tasks directly from the API-based representation, reducing the number of complete SO posts viewed by approximately 64%.","1558-1225","979-8-4007-0217-4","10.1145/3597503.3639089","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549139","API signatures;code search;controlled experiment","Information resources;Codes;Source coding;Search engines;Programming;Data mining;Task analysis","","","","50","","14 Jun 2024","","","IEEE","IEEE Conferences"
"Browser-based Java Development Environment for Programming Education","Y. Liang; M. Uehara","Grad. Sch. of Inf. Sci. and Arts, Toyo University, Kawagoe, Japan; Grad. Sch. of Inf. Sci. and Arts, Toyo University, Kawagoe, Japan",2023 Eleventh International Symposium on Computing and Networking Workshops (CANDARW),"5 Feb 2024","2023","","","153","158","Programming education has become popular in elementary education. However, the pass rate for the subject of programming in higher education is not always sufficient. In recent years, data science courses have effectively taught interactive and goal-oriented programming using Python and Jupyter. We propose a method for learning Java programming interactively using a Jupyter-like execution environment. This environment also enables the execution of network applications that are difficult to execute in the existing Jupyter environment. We show that many of the actual class examples can be executed using the proposed system.","2832-1324","979-8-3503-0694-1","10.1109/CANDARW60564.2023.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10409780","Programming Education;Programming Environment;Java;JupyterLab;JupyterHub;Google Colaboratory (Colab)","Training;Java;Data science;Task analysis;Programming profession;Graphical user interfaces;Python","","","","24","IEEE","5 Feb 2024","","","IEEE","IEEE Conferences"
"Node.DPWS: Efficient Web Services for the Internet of Things","K. Fysarakis; D. Mylonakis; C. Manifavas; I. Papaefstathiou",Technical University of Crete; freelance software developer; Technological Educational Institute of Crete; Technical University of Crete,IEEE Software,"25 Apr 2016","2016","33","3","60","67","Interconnected computing systems in various forms will soon permeate our lives, realizing the Internet of Things (IoT) and letting us enjoy novel, enhanced services that promise to improve our everyday life. Nevertheless, this new reality introduces significant challenges in terms of performance, scaling, usability, and interoperability. Leveraging the benefits of service-oriented architectures (SOAs) can help alleviate many of the issues that developers, implementers, and users alike must face in the context of the IoT. Node.DPWS is a novel implementation of the Devices Profile for Web Services (DPWS) based on the Node.js platform. It comprises the first set of DPWS libraries available to Node.js developers and can be used to deploy lightweight, efficient, and scalable Web services over heterogeneous nodes, including devices with limited resources. A performance evaluation on typical embedded devices validated the benefits of Node.DPWS compared to alternative DPWS libraries.","1937-4194","","10.1109/MS.2015.155","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7325198","Web services;development tools;software libraries;software development;standards;ubiquitous computing;software engineering;DPWS;Devices Profile for Web Services;Node.DPWS;Node.js","Libraries;Java;Performance evaluation;Context awareness;Interoperability;Service-oriented architecture;Internet of things;Web services;Software development;Ubiquitous computing","","11","","16","IEEE","11 Nov 2015","","","IEEE","IEEE Magazines"
"Architecture and Design of a Cloud-Based Visual Simulation Environment","S. T. Önder; O. Balci","Department of Computer Science, Virginia Polytechnic Institute and State University (Virginia Tech), Blacksburg, Virginia, USA; Department of Computer Science, Virginia Polytechnic Institute and State University (Virginia Tech), Blacksburg, Virginia, USA",2019 Winter Simulation Conference (WSC),"20 Feb 2020","2019","","","2737","2748","Doing things ""in the cloud"" has become ubiquitous and the ""cloud"" has become a rich platform for the use of modeling and simulation (M&S) anywhere and anytime to provide solutions to complex problems. Creation of an Integrated Development Environment (IDE) for building and executing visual M&S applications ""in the cloud"" poses significant technical challenges. This paper presents an architecture and a design of a cloud-based visual M&S IDE for the example problem domain ""traffic networks"". The IDE consists of integrated software tools that provide computer-aided assistance in the composition and visualization of simulation models under a web browser on a client computer while the simulation model is being executed on a server computer. Based on a client-server architecture enabling distributed multitiered M&S development, the design employs an asynchronous visualization protocol with efficient resource utilization. The architecture and design can assist researchers and developers to create other cloud-based visual M&S IDEs.","1558-4305","978-1-7281-3283-9","10.1109/WSC40007.2019.9004698","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9004698","","Computational modeling;Object oriented modeling;Java;Computer architecture;Visualization;Cloud computing;Servers","","2","","12","IEEE","20 Feb 2020","","","IEEE","IEEE Conferences"
"Implementation of a web-based programming tool for distributed, connected Arduino systems","M. S. Nair; R. Jishnu; K. M. Rakesh; A. Ramachandran","Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham University; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham University; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham University; Amritapuri Campus, Amrita Vishwa Vidyapeetham University","2016 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","3 Nov 2016","2016","","","1595","1600","Embedded systems are ubiquitous in day to day life. Many of such systems are (1) numerous, (2) widely distributed over a large geographical area, and (3) often connected to a network. Software enhancements and bug-fixes to software running on such remotely deployed embedded systems might sometimes need to be done. The large numbers of systems that might need to be re-programmed, and/or the remote/inaccessible location of such systems often poses a major hurdle in the process. Several industrial solutions for re-programming distributed embedded systems do exist, viz., systems that use Remote Terminal Units, Programmable Logic Controllers or Programmable Automation Controllers. However, these systems are both complex and expensive. We propose a method to remotely program microcontroller-based distributed embedded systems. Such microcontroller-based solutions are the systems of choice for low-cost, high-volume, distributed embedded systems. Our approach is simple and is more suitable when a direct network connection to each of the distributed embedded systems is available. We use a simple web-based interface to write programs on a modern browser, and download the program onto a light-weight server attached to the remote embedded system. The server checks the code for errors and then updates the embedded system with the new version of the software. This solution is more amenable for low-cost systems and where each system is directly connected to the Internet. We believe that this model of reprogramming remote, connected embedded systems will help reduce the time to market, cost, maintenance effort and digital footprint of such systems.","","978-1-5090-2029-4","10.1109/ICACCI.2016.7732276","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7732276","Arduino;Remote programming;firmware update","Servers;Programming;Embedded systems;Computers;HTML;Internet","","2","","23","IEEE","3 Nov 2016","","","IEEE","IEEE Conferences"
"A distributed simulation system for training and testing MOBA game programming","P. Yangyuenyong; A. Khunarree; C. Saekoo; P. Tandayya; T. Limma","Department of Computer Engineering, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Department of Computer Engineering, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Department of Computer Engineering, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Department of Computer Engineering, Prince of Songkla University, Hat Yai, Songkhla, Thailand; Department of Computer Engineering, Prince of Songkla University, Hat Yai, Songkhla, Thailand","2017 14th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","7 Nov 2017","2017","","","745","748","Multiplayer Online Battle Arena or MOBA is one of the most popular game types at the present. The MOBA games have been developed from Real Time Strategy (RTS) games. The goal of MOBA games is to destroy the enemy main base or to get points by killing the enemy members up to the required number. Players of MOBA games usually practice their game skills by playing with a bot. As creating a bot is difficult and rather complex, therefore this paper proposes an idea to develop a distributed simulation system for training game coding and testing game codes by displaying results in a mini map (2-D map). A MOBA game API is also provided for cooperating with the simulation software and so is software supporting many users for their bot programming. In addition, users can use this software to test their bot codes or to practice bot programming in a unique style launched by their own idea and to see the results from the monitor. The software can also introduce a playing plan from the code that the user has already programmed.","","978-1-5386-0449-6","10.1109/ECTICon.2017.8096346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8096346","Distributed Simulation;Multiplayer Online Battle Arena;Game Development Tool;Game Programming Training and Testing","","","","","18","IEEE","7 Nov 2017","","","IEEE","IEEE Conferences"
"Exploring the Effectiveness of Web-Based Programming Environments for MOOCs: A Comparative Study of CodeOcean and OpenJupyter","M. Elhayany; S. Serth; C. Meinel","Hasso Plattner Institute, University of Potsdam, Potsdam, Germany; Hasso Plattner Institute, University of Potsdam, Potsdam, Germany; Hasso Plattner Institute, University of Potsdam, Potsdam, Germany",2023 IEEE Learning with MOOCS (LWMOOCS),"8 Nov 2023","2023","","","1","6","Programming courses offered by openHPI, the European MOOC platform of the Hasso Plattner Institute, feature hands-on programming exercises to support learners in practicing the newly acquired skills. These exercises are facilitated by two tools: CodeOcean and Open Jupyter. Code Ocean is user-friendly and suitable for beginners, while OpenJupyter is more advanced and used in data science courses. In this paper, we compare and discuss the advantages and limitations of both tools, providing recommendations for instructors and researchers in programming courses. We also address technical details, such as scalability and execution environments. Furthermore, we explore future research possibilities, particularly in learner collaboration and automated feedback. Our work supports learners in acquiring knowledge and testing it at their own pace, with individualized feedback and minimal technical requirements, contributing to an open education landscape in programming education.","","979-8-3503-1559-2","10.1109/LWMOOCS58322.2023.10306228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10306228","MOOC;Programming;Web-based Environment;Auto-Grader;Data Science;CodeOcean;OpenJupyter","Technical requirements;Computer aided instruction;Electronic learning;Scalability;Oceans;Education;Refining","","","","22","IEEE","8 Nov 2023","","","IEEE","IEEE Conferences"
"Toward Evidence-Based Software Engineering: Lessons Learned in Healthcare Application Development","A. Nowak; H. J. Schünemann","Evidence Prime; University's Department of Health Research Methods, Evidence, and Impact",IEEE Software,"22 Sep 2017","2017","34","5","67","71","The authors look back at their journey of implementing, rolling out, and evolving a collaboration tool to support evidence-based healthcare and reflect on how software engineers could benefit from similar methods.","1937-4194","","10.1109/MS.2017.3571572","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8048641","architectural decisions;evidence;guidelines;healthcare;web application development;GRADEpro Guideline Development Tool;GRADEpro GDT;software development;software engineering","Medical services;Software engineering;Decision making;Guidelines;Stakeholders;Collaboration","","5","","15","IEEE","22 Sep 2017","","","IEEE","IEEE Magazines"
