title|abstract|keywords|released|link
^Implementation of FPGA building platform as a cloud service^|^The building environment for field-programmable gate array (FPGA) development has a number of requirements such as using high-end computers for faster hardware compilation and installing the various versions of FPGA computer-aided design (CAD) tools specified by different projects while at the same avoiding conflicts between these tools. These requirements make it difficult to enable FPGA development on a wide range of devices, which is critical for developers from different application domains if they are to leverage FPGAs to their full extent. In this work, we propose an FPGA project building platform that reduces hardware costs by sharing high-performance servers between developers and enables a variety of FPGA CAD tools to be available in one platform by using container technology. The evaluation of the proposed platform showed that it provides shared and clean building environments without having significant performance overhead. © 2019 Association for Computing Machinery.^|^FPGA development environment; FPGA development method; Platform-as-a-Service^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070563712&doi=10.1145%2f3337801.3337814&partnerID=40&md5=65278cc6f9b48a76891b57dc87c74569^
^Web-STAR: A visual web-based IDE for a story comprehension system^|^We present Web-STAR, an online platform for story understanding built on top of the STAR reasoning engine for STory comprehension through ARgumentation. The platform includes a web-based integrated development environment, integration with the STAR system, and a web service infrastructure to support integration with other systems that rely on story understanding functionality to complete their tasks. The platform also delivers a number of social features, including a community repository for public story sharing with a built-in commenting system, and tools for collaborative story editing that can be used for team development projects and for educational purposes. Copyright © Cambridge University Press 2018.^|^argumentation; collaboration; reasoning; story understanding; visual programming; web-based IDE^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056565805&doi=10.1017%2fS1471068418000443&partnerID=40&md5=133903f8dfc70c1740285ef78393f8f7^
^OnlineSPARC: A programming environment for answer set programming^|^Recent progress in logic programming (e.g. the development of the answer set programming (ASP) paradigm) has made it possible to teach it to general undergraduate and even middle/high school students. Given the limited exposure of these students to computer science, the complexity of downloading, installing, and using tools for writing logic programs could be a major barrier for logic programming to reach a much wider audience. We developed onlineSPARC, an online ASP environment with a self-contained file system and a simple interface. It allows users to type/edit logic programs and perform several tasks over programs, including asking a query to a program, getting the answer sets of a program, and producing a drawing/animation based on the answer sets of a program. Copyright © Cambridge University Press 2018.^|^answer set programming; CS education; integrated development environment; logic programming; visualization^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056604338&doi=10.1017%2fS1471068418000509&partnerID=40&md5=26819a5eb570c60a23b54d3742b86c1f^
^Modeling and developing the information system for a programming contest 'programmers' league'^|^The paper dwells on a web-based information system for various sports programming contests that allow assessing the participants' program code quality in programming languages (Java, C, C++, C#, Python). The designed system was used as a tool for programming contest 'Programmers' league'. The experiment of the research the authors carried out at Sholom-Aleichem Priamursky State University. It ensured the advantage of developing and using a system of this kind, especially more flexible settings for contests, multi-stage leagues, implementing scoring systems, including bonus points for participants. © 2019 IEEE.^|^ACM; Contest; Higher education; Information system; Programming environment; Sports programming^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067500736&doi=10.1109%2fEastonf.2019.8725361&partnerID=40&md5=5d4ac88a447aa4971c953c5a9c764466^
^Situation Analytics and Model-based User Interface Development: A Synergetic Approach for Building Runtime-Adaptive Business Applications^|^Situation analytics can be used to recognize the changing behavior, emotional state, cognitive load and environmental context of a user during complex task processing. This article discusses the SitAdapt 2.0 architecture that combines a situation analytics platform with pattern-and model-based user interface construction tools in order to build runtime-adaptive interactive business applications with enhanced user experience and task-accomplishment characteristics. The article focuses on the software components and tools for observing and tracking the user, data types for modeling situations, recognizing situations, and modeling structural changes and actions for generating the dynamic adaptations. The situation recognition capabilities and adaptive functionality of the system are demonstrated for web-applications for long-distance travel booking and a beauty products web-portal. © 2019 Christian Märtin et al.^|^Adaptive User Interfaces; E-business Applications; Emotion Recognition; HCI-patterns; Model-based User Interface Development Environments (MBUID); Situation Analytics; User Tracking^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088743021&doi=10.7250%2fcsimq.2019-20.01&partnerID=40&md5=2d24c7666f361a5155d28b08af24c2f2^
^pyiron: An integrated development environment for computational materials science^|^To support and accelerate the development of simulation protocols in atomistic modelling, we introduce an integrated development environment (IDE) for computational materials science called pyiron (http://pyiron.org). The pyiron IDE combines a web based source code editor, a job management system for build automation, and a hierarchical data management solution. The core components of the pyiron IDE are pyiron objects based on an abstract class, which links application structures such as atomistic structures, projects, jobs, simulation protocols and computing resources with persistent storage and an interactive user environment. The simulation protocols within the pyiron IDE are constructed using the Python programming language. To highlight key concepts of this tool as well as to demonstrate its ability to simplify the implementation and testing of simulation protocols we discuss two applications. In these examples we show how pyiron supports the whole life cycle of a typical simulation, seamlessly combines ab initio with empirical potential calculations, and how complex feedback loops can be implemented. While originally developed with focus on ab initio thermodynamics simulations, the concepts and implementation of pyiron are general thus allowing to employ it for a wide range of simulation topics. © 2019 The Authors^|^Complex simulation protocols; Integrated development environment; Modelling workflow^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062973139&doi=10.1016%2fj.commatsci.2018.07.043&partnerID=40&md5=c9144d1aef0ee82e393fc2eb45f3e12d^
^Native Code Generation as a Service^|^With the widespread use of mobile applications in daily life, it has become crucial for enterprise software companies to quickly develop these applications for multiple platforms. Cross-platform mobile application development is one of the most adopted solutions for rapid development. Since most of these solutions do not generate native code for the underlying platform, the artefacts generally do not satisfy the requirements defined at the beginning of the project. This study designed and implemented a native code generation framework called Nativator built as a cloud service. The framework, which is capable of producing native code for iOS and Android platforms using web-based user interfaces, was implemented based on an open source compiler platform called "Roslyn". Four case studies were performed to analyze the execution performance of the applications built with the proposed framework. The experimental results demonstrated that the execution performance of the applications built with Nativator is comparable with the applications generated via the state-of-the-art mobile application development framework called Xamarin. Because this framework was implemented as a cloud service, it has several advantages over traditional approaches such as access from anywhere, no installation and flexible and more resources from cloud infrastructure. © 2019 World Scientific Publishing Company.^|^cloud computing; code generation; Cross-platform framework; cross-platform mobile application development tool; Rosyln^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062362417&doi=10.1142%2fS0218194019500128&partnerID=40&md5=8b51e7d1a11299887f28cfb1b961d081^
^A Domain Ontology for Software Requirements Change Management in Global Software Development Environment^|^Ontology and its role in both software engineering and knowledge management fields have been widely reported in the literature. Numerous studies have proven the effectiveness of using ontologies to support the process of requirements engineering. One of the main problems facing requirements engineering is that the requirements are exposed to change. In fact, this problem swells even more in global software development (GSD) environment. Given that this problem is unavoidable, we need to improve the requirements change management (RCM) process. In this paper, a systematic domain ontology for RCM especially in GSD environment is proposed. A hybrid method combining Methontology and the 101 method is used for its development; Web Ontology Language (OWL) for its representation; and Protégé for its implementation. It was validated using ontology content evaluation and competency question evaluation methods. Also, it was verified using both ontology taxonomy evaluation and FOCA evaluation methods. Validation and verification results showed that the proposed ontology was successfully built. Building this ontology can be considered as a base contribution in supporting the RCM process in GSD. © 2013 IEEE.^|^global software development; ontology; requirement change management; Requirement engineering^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065128605&doi=10.1109%2fACCESS.2019.2909839&partnerID=40&md5=134ade025e02d61d68db3b35220e2eb0^
^Circuitsmaster: An online end-user development environment for IoT electronics^|^Even though Arduino has made creating products with electronics more accessible, a significant number of users still have difficulties with it. An online tool CircuitsMaster.com (CM), aiming make the design of electronics with Arduino faster and easier is presented in this paper. Three diverse needs of designers that wish to include electronics with Arduino in their projects are explained. CM uses a combination of end-user development paradigms to answer to these needs. Based on results from a user evaluation, those who used CM were significantly faster in creating typical electronics assignments when compared to subjects who did not use CM. Therefore, such tools seem to have a salient role to play for designers that wish to develop IoT products. © Springer Nature Switzerland AG 2019.^|^Arduino; CircuitsMaster; Electronics; End-user development; IoT^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076273129&doi=10.1007%2f978-3-030-34255-5_10&partnerID=40&md5=cfa4d3a20e8f05fbff8a4c894699e3d0^
^Experimental evaluation of the virtual environment efficiency for distributed software development^|^At every software design stage nowadays, there is an acute need to solve the problem of effective choice of libraries, development technologies, data exchange formats, virtual environment systems, characteristics of virtual machines. Due to the spread of various kinds of devices and the popularity of Web platforms, lots of systems are developed not for the universal installation on a device (box version), but for a specific architecture with the subsequent provision of web services. Under these conditions, the only way for estimating the efficiency parameters at the design stage is to conduct various kinds of experiments to evaluate the parameters of a particular solution. Using the example of the Web platform of digital psychological tools, the methods for experimental parameter evaluation were developed in the article. The mechanisms and technologies for improving the efficiency of the Vagrant and Docker cloud virtual environment were also proposed in the paper. A set of basic criteria for evaluating the effectiveness of the configuration of the virtual development environment has been determined to be rapid deployment; increase in the speed and decrease in the volume of resources used; increase in the speed of data exchange between the host machine and the virtual machine. The results of experimental estimates of the parameters that define the formulated efficiency criteria are given as: processor utilization involved (percentage); the amount of RAM involved (GB); initialization time of virtual machines (seconds); time to assemble the component completely (Build) and to reassemble the component (Watch) (seconds). To improve the efficiency, a file system access driver based on the NFS protocol was studied in the paper. © 2018 The Science and Information (SAI) Organization Limited.^|^Distributed software development; Docker; Increase development efficiency; NFS; Vagrant; Virtual development environment; Virtual machines; Webpack^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066747642&doi=10.14569%2fijacsa.2019.0100539&partnerID=40&md5=5b3092ef27480ba7e0a9875cbedfb56d^
^Teachers’ Perspectives on Learning and Programming Environments for Secondary Education^|^Teaching and learning programming is a challenge. Although several learning and programming environments have been proposed for classes, there seems to be more dissent than consensus as to which tools are preferable over others. This paper investigates teachers’ perspectives on popular learning and programming environments used in secondary computer science education in Germany. The environments investigated are: BlueJ, Scratch, Greenfoot, Eclipse, MIT App Inventor, Processing IDE, and Alice. Based on prior research, a catalogue of environment features supporting the learning processes of students was constructed. Using these criteria, an online-survey was conducted with computer science teachers in North Rhine-Westphalia, Germany. In the survey, the participating teachers evaluated the selected tools’ adequacy for teaching object-oriented programming. The findings support the results of prior research conducted with students, stressing the importance of a simple and user-friendly graphical user interface (GUI) as well as the option to visualise classes and objects. Contrary to prior studies, the results show that teachers do not see the editor as equally important, as students do, and that there is no consensus about the role of the area of application for choosing an integrated development environment (IDE). Student-friendly debugging messages as well as a step-by-step execution of programs were identified as important features. Although no tool excelled for every criterion, the clear favourite was BlueJ. © IFIP International Federation for Information Processing 2019.^|^Educational programming environments; Object-oriented-programming; Teaching and learning programming^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069475296&doi=10.1007%2f978-3-030-23513-0_5&partnerID=40&md5=359acaa7d57367d57584544c0e1666d4^
^A Method to Enhance the Security Capability of Python IDE^|^The majority of applications running on the Internet are web applications; however, these applications are vulnerable to arbitrary code execution and database manipulation by Cross-Site Scripting or SQL injection attacks. The fundamental reason of these vulnerabilities is that web applications use a string type for assembling heterogeneous computer languages’ syntax for a particular language. To cope with these vulnerabilities, we propose a language-based scheme, in which the programming language itself provides security capabilities by a method of the syntax embedded in Python. Furthermore, the proposed solution supports backward compatibility and higher portability to other languages as well as Python. To improve the debugging difficulty caused by a language-based scheme, we propose a trace-processor that has post-mortem debug ability. We implement the proposed solution as a development environment, named Python-S, based on CPython’s source code. Python-S successfully displays the protection capabilities for the SQL injection attack. © 2019, Springer Nature Switzerland AG.^|^Code injection; Programming language; Python; Web application^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077017768&doi=10.1007%2f978-3-030-35653-8_27&partnerID=40&md5=44619f80fbff7d0a95c22b0060c0722c^
^Security in the cloud: Understanding your responsibility^|^The popularity of public cloud services continues to grow with Gartner predicting the total worldwide revenue to almost double from $145 billion in 2017 to $278 billion in 20211. Many cloud service types are components of this growth including Software-as-a-Service (SAAS), Platform-as-a-Service (PAAS) and Infrastructure-as-a-Service (IAAS). The use of cloud services brings many possible benefits such as scalability, high performance and availability, flexibility, cost effectiveness and security 2. However; each of these benefits comes with some responsibilities and requires a detailed knowledge of the specific cloud services used. For example, in Amazon Web Services (AWS) shared responsibility model for security, AWS is responsible for securing the facilities, physical security of hardware, network infrastructure, and the virtualization infrastructure. The cloud service customer is responsible for securing and managing the applications that run in the cloud, the operating systems, data-at-rest, data-in-transit, policies and other responsibilities. This paper works through several different use cases and provides the details for properly securing the services with which Army Research Laboratory (ARL) researchers interact. The use cases include sample configurations and descriptions required to fulfill the customer security responsibilities in a public cloud environment. Cloud services used include AWS Elastic Computer Cloud (EC2) Windows and Linux instances, Relational Database Services (RDS), Simple Cloud Storage Service (S3), Glacier S3 Storage, and DynamoDB. Challenges and approaches associated with delegating temporary security credentials, Identity and Access Management (IAM) service, and securing data-at-rest and data-in-transit will also be discussed. © 2019 SPIE.^|^Algorithm development environment; Amazon Web Services; AODR; AWS; Cloud computing; Cloud-based security; Database; MMSDB; Secure data environment; Sensor information testbed; Shared security model; Signature data processing; SITCORE^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072404477&doi=10.1117%2f12.2521821&partnerID=40&md5=3293d94b798bdd42db14e8171ccdba70^
^How “Friendly” Integrated Development Environments Are?^|^Programmers and software developers are using different Integrated Development Environments (IDEs) to perform their daily work. IDEs are often complex applications, not friendly for novice programmers, with a learning process of several weeks and with usability and satisfaction of use not always as good as expected. The Programmer eXperience (PX) is a particular case of User eXperience (UX), based on the use of the IDEs and other artifacts. We have found studies about the programmer’s behavior and work, and also articles addressed the usability and new tools proposals for IDEs. In this work, we conducted a survey to evaluate the usability of several IDEs. The survey was based on the System Usability Scale (SUS), which we adapted for the purpose of our research. We focus the study on popular IDEs such as Dev-C++, Eclipse and NetBeans. The survey was conducted in two Chilean universities and one Spanish university, with students enrolled in two undergraduate programs in Informatics Engineering. The results obtained show that the IDEs evaluated have several issues related to the usability perceived by our participants. An interview was conducted with six experienced programmers that are working in different programming environments, in order to consult them on what aspects they would like to improve the IDEs. Their comments indicate that IDEs should incorporate connection with other programmers, and also, they claim for more intuitive interfaces and understandable error messages. © 2019, Springer Nature Switzerland AG.^|^Integrated Development Environment; Interview; Programmer eXperience; Survey; Usability; User eXperience^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069822473&doi=10.1007%2f978-3-030-21902-4_7&partnerID=40&md5=7f7bb1d4acada06f0aa26860b788cd91^
^Angular for material design: Leverage angular material and typescript to build a rich user interface for web apps^|^Build Angular applications faster and better with TypeScript and Material Design. You will learn how to build a web interface and use Google's open source Angular Material library of ready-made and easy-to-use components. This book uses Angular with TypeScript (a superset to JavaScript) to enable use of data types and take advantage of programming constructs such as classes, interfaces, generic templates, and more. You also will utilize various Angular features, including data binding, components, services, etc. You will build a single page application with the help of routing capabilities available out of the box (Angular CLI) and interface with remote services over HTTP. You will: Build an application using Angular, TypeScript, and Angular Material Understand Angular concepts such as components, directives, services, and more Use TypeScript features, including data types, classes, interfaces, generic templates, etc. Build a single page application (SPA) with routing features and integrate it with server-side remote services © 2020 by Venkata Keerti Kotaru.^|^Angular version 6.0; API; Integrated development environment (IDE); JavaScript; Material design; TypeScript; User interface (UI); Web pages^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086208333&doi=10.1007%2f978-1-4842-5434-9&partnerID=40&md5=7486ef1f7c24779f7d89d735983a3600^
^Job recommendation system based on machine learning and data mining techniques using RESTful API and Android IDE^|^In the current Capitalist world with an abundance of different state-of-the-art industries and fields cropping up, ushering in an influx of jobs for motivated and talented professionals, it is not difficult to identify your field and to persevere to get a job in the respective field but lack of information and awareness render the task difficult. This problem is being tackled by Job Recommendation systems. But not every aspect from the wide spectrum of factors is incorporated in the existing systems. For the "Job Recommendation System - Vitae" machine learning and data mining techniques were applied to a RESTful Web Server application that bridges the gap between the Frontend (Android Application) and the Backend (MongoDB instance) using APIs. The data communicated through APIs is fed into the database and the Recommendation System uses that data to synthesize the results. To make the existing systems even more reliable, here efforts have been done to come up with the idea of a system that uses a wide variety of factors and is not only a one-way recommendation system. © 2019 IEEE.^|^Android Application; Content Based filtering; Data mining; Job Recommendations; Machine Learning; Recommendation Systems; RESTful API^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070577501&doi=10.1109%2fCONFLUENCE.2019.8776964&partnerID=40&md5=f878855022c93515f8f873d4e18b98c1^
^GNU radio-based cloud development environment for software-defined radio users^|^Software-defined radio (SDR) is used for R&D such as cognitive radio. Because sampling devices and personal computers configuring the SDR environment have fixed configurations, some reconfiguration is needed when the SDR application requires different data sources and computational resources. To enable reconfiguration, we present a cloud platform that has scalable computing resources and data sources deployed over a wide area. We use the existing SDR development environment (SDRDE) and implement it on the cloud platform. It is necessary to transfer the SDR environment to the cloud by separating the UI and data management from the existing SDRDE. In this study, we selected the GNU Radio Companion (GRC) as the base platform and implemented an SDRDE for an unspecified number of users by separating the UI. In addition, we used task parallel and distributed computing for the SDR application. In this study, we focus on compatibility with the base implementation and lifting the limits of computational resources. We confirmed the compatibility with GRC in terms of user skill sets and software assets and evaluated the system response time. Further, the relationship between CPU utilization and instructions per cycle during SDR application execution shows that in general, this approach is effective. © 2019 Information Processing Society of Japan.^|^Cloud computing; Development environment; GNU Radio; Software-defined radio; Task parallel and distributed computing^|^2019^|^https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064054182&doi=10.2197%2fipsjjip.27.287&partnerID=40&md5=e0e7f8183e429bb6363c11e2eae0b81c^
^JupyTEP IDE as an online tool for earth observation data processing^|^The paper describes a new tool called JupyTEP integrated development environment (IDE), which is an online integrated development environment for earth observation data processing available in the cloud. This work is a result of the project entitled JupyTEP IDE-Jupyter-based IDE as an interactive and collaborative environment for the development of notebook style EO algorithms on network of exploitation platforms infrastructure carried out in cooperation with European Space Agency. The main goal of this project was to provide a universal earth observation data processing tool to the community. JupyTEP IDE is an extension of Jupyter software ecosystem with customization of existing components for the needs of earth observation scientists and other professional and non-professional users. The approach is based on configuration, customization, adaptation, and extension of Jupyter, Jupyter Hub, and Docker components on earth observation data cloud infrastructure in the most flexible way; integration with accessible libraries and earth observation data tools (sentinel application platform (SNAP), geospatial data abstraction library (GDAL), etc.); adaptation of existing web processing service (WPS)-oriented earth observation services. The user-oriented product is based on a web-related user interface in the form of extended and modified Jupyter user interface (frontend) with customized layout, earth observation data processing extension, and a set of predefined notebooks, widgets, and tools. The final IDE is addressed to the remote sensing experts and other users who intend to develop Jupyter notebooks with the reuse of embedded tools, common WPS interfaces, and existing notebooks. The paper describes the background of the system, its architecture, and possible use cases.^|^Docker; eEarth observation data processing; IDE; IPython; Jupyter notebook; web application; web processing service^|^2019^|^^
^<I>whatsapp</i> use among african international distance education (IDE) students: Transferring, translating and transforming educational experiences^|^Much of the research on how social media is embedded into the educational practices of higher education students has a Western orientation. In concentrating on a case study of the varied ways in which African International Distance Education (IDE) students actively use social media to shape their learning experiences, we discuss an under-researched group. The paper draws on analysis of 1295 online questionnaires and 165 in-depth interviews with IDE students at UNISA, South Africa, one of the largest providers of IDE globally. WhatsApp emerges as “the” key social media tool that opens up opportunities for IDE students to transfer, translate and transform their educational journey when studying “at a distance”. Although WhatsApp does provide a “space of opportunity” for some students, this is framed through socio-technical marginalisation, itself a reflection of demographic legacies of inequality. Exploring social media practices though the case of African IDE students places these students centre stage and adds to the awareness of the multiple centres from which international education is practiced.^|^African international distance education; social media; WhatsApp; South Africa^|^2019^|^^
^Real-time and online monitoring of glucose contents by using molecular imprinted polymer-based IDEs sensor^|^A highly sensitive, selective, reversible, and reusable glucose sensor is developed by using molecularly imprinted polymer-based artificial receptors onto interdigital transducer. Sensor receptors were synthesized through bulk imprinting technology by using styrene as monomer, ethylene glycol dimethacrylate (EGDMA) as cross-linker, and AIBN as free radical initiator. Topography of the synthesized receptors was investigated by scanning electron microscopy (SEM). Fabricated sensor showed concentration-dependent linear and reversible response with lower limit of detection of 30 ppb and upper limit of detection similar to 500 ppm. Furthermore, newly fabricated sensor is highly selective towards its analyte of interest in the presence of other competing agents, and the regeneration of sensor response has been assessed with the percentage error of less than 2% under the period of 1 year at room temperature and pressure conditions. The reported sensor may have potential technological applications in the field of medical diagnostics, food, and pharmaceutical industry.^|^Molecular imprinted polymers; Electrochemical sensors; Glucose; Sensitivity; Selectivity; Limit of detection^|^2019^|^^
^GLIDE (git-learning IDE; integrated development environment): In-class collaboration in web engineering curriculum for youths (abstract only)^|^Despite software engineering’s inherently collaborative nature, collaboration with others hasn’t been the primary way for students to learn how to program. Although various collaboration frameworks, such as Git, are widely used in software engineering, they’ve been treated as separate skills to acquire in addition to learning programming languages, rather than ways of learning, working, and thinking while learning to program. One collaborative software development task that students often want to engage in is building websites. However, the complexity of web syntax and architecture has been a hurdle in teaching and learning web design and development, especially for beginners without sufficient technical background. Specifically, syntactic barriers in several different languages for a webpage, inherent coupling of content and design in HTML, difficulty in understanding server-client model, and need for hosting resources for deployment contribute to a steep learning curve in building websites "from scratch". This work aims to address these issues by developing GLIDE (Git-Learning Integrated Development Environment) - a set of tools and curriculum that support in-class collaborative development in web engineering courses. GLIDE structures the website development process as a teacher-guided Git workflow for a team of students collaborating in groups in a Git repository. The application also provides a web programming model that separates content, from design, from implementation, allowing students to take on different roles and responsibilities during the development process. This demo presents a tutorial on how a group of students can build websites collaboratively with teacher’s assistance based on the GLIDE software platform and curriculum.^|^web engineering curriculum; k-12 cs education; collaborative software engineering^|^2018^|^https://doi.org/10.1145/3159450.3162203^
^Coding tutorials for any programming language or interactive tutorials for c and arduino: (Abstract only)^|^Any CS educator has to explain sooner or later a portion of code or a structured text to learners. The Codecast tool http://www.codecast.info has been specially designed by CS educators and developed initially for MOOCs to replace non-interactive screencasts. This workshop is a hands-on lab to Codecast: an open-source innovative tool to create in-browser interactive coding tutorials. Codecast supports syntax highlighting for over 110 languages and as of 2017 can compile/interpret and execute a subset of the C and Arduino languages. In this workshop, participants will explore how, using our Codecast tool, a CS educator can explain the creation of a computer program while their audio as well as their interactions with the code editor and interpreter are being recorded for interactive playback. Workshop participants will furthermore experience how different aspects of the coding process like testing, running, debugging and optimizing can be illustrated with the help of several data, memory and algorithm visualization modules. Participants will create recordings and experience (like learners) how they can be played back interactively by taking control over and modify the coding process at any time. Codecast enables the learner to interact directly with the code and experiment with different ideas while listening to the instructor’s explanation. The learner can make changes to the code, test it with different inputs, run the code step-by-step to better understand its behavior and visualize other parts of the algorithm or the data. Workshop participants will also integrate their creations in their online curricula.^|^programming editor; online courses; mooc; interactive tutorials; integrated development environment; computer science education; coding tutorials; code editor; c programming language^|^2018^|^https://doi.org/10.1145/3159450.3162381^
^Iconic framework for cooperative coding^|^The description of an innovative framework built on top of Web-based visual programming environment is the primary aim of this contribution. In the last decade, many frameworks oriented to visual languages have been introduced in literature to improve the skill on programming languages, but at the best of our knowledge, no framework has been specially designed to support collaborative work on heterogeneous distributed environments. Therefore, SIRENE introduces a new framework in which beginners and experts can cooperate to develop algorithms by using a visual and iconic paradigm. Students, in the classroom or connected from everywhere, can be involved into the definition of the algorithm, can asynchronously modify the common working space, show a visual function to expert, thus the server hosts a shared space in which the algorithms can be visualised and modified by all of the SIRENE clients. SIRENE is primarily a visual framework oriented to collaborative approaches in which each user can visualise the evolution or implementation of some algorithms and modify it during its development by other users.^|^Web-based Iconic Interface; Visual Programming Environments; Interactive learning control; Collaborative Coding; Application Programming Interfaces^|^2018^|^https://doi.org/10.1145/3274005.3274016^
^WebLinux: A scalable in-browser and client-side linux and IDE^|^"WebLinux" is a web app tool providing a standard Linux OS and an IDE in the browser, including a terminal, a code editor and a file browser. It provides a client-side and offline Linux OS environment based on a Javascript emulated processor. By avoiding the use of a Virtual Machine or any Linux server, Weblinux enables learners to directly start experimenting with the Linux OS without installing any software. The tool is entirely client-side which makes it extremely scalable and easy to deploy within a large community of online learners.^|^scalability; openrisc; linux; javascript; in-browser IDE; emulator; education; browser; MOOC; CLI^|^2018^|^https://doi.org/10.1145/3231644.3231703^
^PowerStation: Automatically detecting and fixing inefficiencies of database-backed web applications in IDE^|^Modern web applications are built using a myriad of software components, and each of them exposes different programming models (e.g., application logic expressed in an imperative language, database queries expressed using declarative SQL). To improve programmer productivity, Object Relational Mapping (ORM) frameworks have been developed to allow developers build web applications in an object-oriented manner. Despite such frameworks, prior work has found that developers still struggle in developing performant ORM-based web applications. This paper presents PowerStation, a RubyMine IDE plugin for optimizing web applications developed using the Ruby on Rails ORM. Using automated static analysis, PowerStation detects ORM-related inefficiency problems and suggests fixes to developers. Our evaluation using 12 real-world applications shows that PowerStation can automatically detects 1221 performance issues across them. A tutorial on using PowerStation can be found at https://youtu.be/rAV8CGuSj6k.^|^performance anti-patterns; database-backed applications; RubyMine Plugin; Object-Relational Mapping frameworks^|^2018^|^https://doi.org/10.1145/3236024.3264589^
^Improving regression testing in continuous integration development environments (keynote)^|^In continuous integration development environments, software engineers frequently integrate new or changed code with the mainline codebase. Merged code is then regression tested to help ensure that the codebase remains stable and that continuing engineering efforts can be performed more reliably. Continuous integration is advantageous because it can reduce the amount of code rework that is needed in later phases of development, and speed up overall development time. From a testing standpoint, however, continuous integration raises several challenges. Chief among these challenges are the costs, in terms and time and resources, associated with handling a constant flow of requests to execute tests. To help with this, organizations often utilize farms of servers to run tests in parallel, or execute tests "in the cloud", but even then, test suites tend to expand to utilize all available resources, and then continue to expand beyond that. We have been investigating strategies for applying regression testing in continuous integration development environments more cost-effectively. Our strategies are based on two well-researched techniques for improving the cost-effectiveness of regression testing – regression test selection (RTS) and test case prioritization (TCP). In the continuous integration context, however, traditional RTS and TCP techniques are difficult to apply, because these techniques rely on instrumentation and analyses that cannot easily be applied to fast-arriving streams of test suites. We have thus created new forms of RTS and TCP techniques that utilize relatively lightweight analyses, that can cope with the volume of test requests. To evaluate our techniques, we have conducted an empirical study on several large data sets. In this talk, I describe our techniques and the empirical results we have obtained in studying them.^|^Continuous integration; large scale testing; regression testing^|^2018^|^https://doi.org/10.1145/3278186.3281454^
^Predicting developers’ IDE commands with machine learning^|^When a developer is writing code they are usually focused and in a state-of-mind which some refer to as flow. Breaking out of this flow can cause the developer to lose their train of thought and have to start their thought process from the beginning. This loss of thought can be caused by interruptions and sometimes slow IDE interactions. Predictive functionality has been harnessed in user applications to speed up load times, such as in Google Chrome’s browser which has a feature called "Predicting Network Actions". This will pre-load web-pages that the user is most likely to click through. This mitigates the interruption that load times can introduce. In this paper we seek to make the first step towards predicting user commands in the IDE. Using the MSR 2018 Challenge Data of over 3000 developer session and over 10 million recorded events, we analyze and cleanse the data to be parsed into event series, which can then be used to train a variety of machine learning models, including a neural network, to predict user induced commands. Our highest performing model is able to obtain a 5 cross-fold validation prediction accuracy of 64^|^IDE monitoring; developer commands; machine learning; neural network^|^2018^|^https://doi.org/10.1145/3196398.3196459^
^PerformanceHat: Augmenting source code with runtime performance traces in the IDE^|^Performance problems observed in production environments that have their origin in program code are immensely hard to localize and prevent. Data that can help solve such problems is usually found in external dashboards and is thus not integrated into the software development process. We propose an approach that augments source code with runtime traces to tightly integrate runtime performance traces into developer workflows. Our goal is to create operational awareness of performance problems in developers’ code and contextualize this information to tasks they are currently working on. We implemented this approach as an Eclipse IDE plugin for Java applications that is available as an open source project on GitHub. A video of PerformanceHat in action is online: https://youtu.be/fTBBiylRhag^|^development workflow; program analysis; software performance engineering^|^2018^|^https://doi.org/10.1145/3183440.3183481^
^Matlab Programming Environment Based on Web^|^Matlab is a mathematics software, which is the industry leader in numerical calculation, but this software takes up a lot of system memory and is extremely cumbersome to install. As various types of modeling rise and the intensity and frequency of discipline penetration are deepened and accelerate gradually, Matlab has gradually entered more people's field of vision. In order to simplify the programming environment and improve the convenience, a Matlab programming environment based on Web is proposed in this paper. Compared with the traditional Matlab programming environment, the main features of the system are that it does not need to deploy any development environment locally, and users can write and run Matlab code through the browser of mobile phone, tablet, computer; at the same time, the system also supports standard input, parameter input, and image output. Through the research and testing of the system, the programming environment has strong feasibility, excellent user experience, good concurrency and stability.^|^Matlab; Web; programming environment; online programming^|^2018^|^https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8740716^
